Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,/wp-20-walet/FIREBASE_IOS_APP_ID,x:xxxxxxxxxxxx:ios:xxxxxxxxxxxxxxxxxxxxxx,Both found in the Firebase console -> Project settings. iOS builds share the same value.,To be Refactored to ${VPC}/${STAGE}/FIREBASE_IOS_APP_ID,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/IOS_BUNDLE_IDENTIFIER,com.fourdotzero.walletX,See https://developer.apple.com/account/resources/identifiers/list,To be Refactored to ${VPC}/${STAGE}/IOS_BUNDLE_IDENTIFIER, com.fourdotzero.wallet1 | com.fourdotzero.wallet2,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE
Live,/wp-20-walet/IOS_PROVISION_PROFILE_NAME,${VPC}-wp-20-walet-IOS_PROVISION_PROFILE,See https://developer.apple.com/account/resources/profiles/list,To be Refactored to ${VPC}/${STAGE}/IOS_PROVISION_PROFILE_NAME,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/NAME_LEGAL,Fourdotzero Software Limited,wp-20-walet,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/NAME_LONG,PNPD | Fourdotpay,wp-20-walet,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/NAME_SHORT,PNPD | Fourdotpay,wp-20-walet,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/TEAM_ID,K5M3V8X5CC,used by both wp-20-walet and wp-2-setmt,To be refactored to use existing APPLE_TEAM_ID,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,ACCOUNT_CURRENCY_TABLE_NAME,${VPC-STAGE}-685_dbt_AccountCurrency_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Live,ACCOUNT_TABLE_NAME,${VPC-STAGE}-675_dbt_Account_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Live,ANDROID_KEYSTORE_FILE,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
Live,ANDROID_KEYSTORE_FILE_BASE64,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
Live,ANDROID_KEYSTORE_PASSWORD,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
Live,ANDROID_SERVICE_ACCOUNT_BASE64,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
Live,ANDROID_SIGNING_KEY_ALIAS,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
